Date,PropID,Nickname,Contractor,LaborCost,MaterialCost,Paid,Comments
20140402,14,Cherry,Luke,24,11.2,pd,put tarp up for temp use as garge door
20140412,29,High Street,Luke,72,109.1,pd,Repair ramp for code
20140413,37,South Central,Luke,24,1.24,pd,fix shower leaking
20140414,37,South Central,Luke,12,0,pd,fix sink leaking
20140416,38,Edgar,Luke,12,0,pd,unclogg blocked drain
20140418,18,3rd Street,Luke,72,0,pd,Put together furnace with recall parts
20140419,38,Edgar,Luke,36,104.59,pd,install sump pump for edgar
20140420,36,South Central,Luke,12,13.6,pd,clean stove and to got to re light
20140426,33,South Central,Lori,50,31.25,pd,clean out tires in basement and clean out apt
20140426,33,South Central,Luke,60,0,pd,clean out basement and apt
20140426,18,3rd Street,Lori,20,0,pd,help cary new and old furnaces out
20140426,18,3rd Street,Luke,36,328.81,pd,help cary new and old furnaces out and parts for new one
20140427,28,Detached,Luke,66,18.18,pd,install springs on garage door and replaced batteries in co2 and smoke
20140428,33,South Central,Luke,24,66.15,pd,haul garbage to dump
20140428,33,South Central,Lori,20,0,pd,Help pick up garbage and haul to dump
20140429,28,Detached,Luke,30,0,pd,re align garage door- fell down
